REGION,COUNTRY,SECTOR,SUBSECTOR,YEAR,QUARTER,"Dividend, USD"
Canada,Canada,Consumer Cyclical,Household services,2015,15Q4,24289334.52
Canada,Canada,Consumer Cyclical,Household services,2016,16Q1,26315484.13
Canada,Canada,Consumer Cyclical,Household services,2016,16Q2,31855654.88
Canada,Canada,Consumer Cyclical,Household services,2016,16Q3,34950738.15
Canada,Canada,Consumer Cyclical,Household services,2016,16Q4,37408550.08
Canada,Canada,Consumer Cyclical,Household services,2017,17Q1,39798813.39
Canada,Canada,Consumer Cyclical,Household services,2017,17Q2,42231237.12
Canada,Canada,Consumer Cyclical,Household services,2017,17Q3,44765315.75
Canada,Canada,Consumer Cyclical,Household services,2017,17Q4,47254500.6
Canada,Canada,Consumer Cyclical,Household services,2018,18Q1,50150854.95
Canada,Canada,Consumer Cyclical,Household services,2018,18Q2,109770203.7
Canada,Canada,Consumer Cyclical,Household services,2018,18Q3,111635121.15
Canada,Canada,Consumer Cyclical,Household services,2018,18Q4,112508298.9
Canada,Canada,Consumer Cyclical,Household services,2019,19Q1,113679157.95
Canada,Canada,Consumer Cyclical,Household services,2019,19Q2,125778074
Canada,Canada,Consumer Cyclical,Household services,2019,19q3,126955771
Canada,Canada,Consumer Cyclical,Household services,2019,19Q4,128080139
Canada,Canada,Consumer Cyclical,Household services,2020,20Q1,149252231.5
Canada,Canada,Consumer Cyclical,Household services,2020,20Q2,311463754.68
Canada,Canada,Consumer Cyclical,Household services,2020,20Q4,157830896.6
Canada,Canada,Consumer Cyclical,Household services,2021,21Q1,158278961.88
Canada,Canada,Consumer Cyclical,Household services,2021,21q2,162705889.85
Canada,Canada,Consumer Cyclical,Household services,2021,21q3,162879970.47
Canada,Canada,Consumer Cyclical,Household services,2021,21Q4,163478360.61
Canada,Canada,Consumer Cyclical,Household services,2022,22q1,167179283.83
Canada,Canada,Consumer Cyclical,Household services,2022,22Q2,167345614.98
Canada,Canada,Consumer Cyclical,Household services,2022,22Q3,166912151.58
Canada,Canada,Consumer Cyclical,Household services,2022,22Q4,165297584.52
Canada,Canada,Consumer Cyclical,Household services,2023,23Q1,165629964.78
Canada,Canada,Consumer Cyclical,Household services,2023,23Q2,169845765.1
Canada,Canada,Consumer Cyclical,Household services,2023,23Q3,171607170.9
Canada,Canada,Consumer Cyclical,Household services,2023,23q4,171815787
Canada,Canada,Consumer Cyclical,Household services,2024,24q1,174820990.3
Canada,Canada,Consumer Cyclical,Household services,2024,24q2,183109083.86
Canada,Canada,Consumer Cyclical,Household services,2024,24q3,183745644.3
Canada,Canada,Consumer Cyclical,Household services,2024,24q4,187720125.62
Canada,Canada,Consumer Cyclical,Household services,2025,25Q1,187750350
Canada,Canada,Consumer Cyclical,Household services,2025,25q2,202872888.94
Canada,Canada,Consumer Defensive,Food Retail,2010,10Q1,44323200.6778913
Canada,Canada,Consumer Defensive,Food Retail,2010,10Q2,103539684.215582
Canada,Canada,Consumer Defensive,Food Retail,2010,10Q3,98422024.6056966
Canada,Canada,Consumer Defensive,Food Retail,2010,10Q4,161227805.420788
Canada,Canada,Consumer Defensive,Food Retail,2011,11Q1,1049772052.79017
Canada,Canada,Consumer Defensive,Food Retail,2011,11Q2,109272556.174731
Canada,Canada,Consumer Defensive,Food Retail,2011,11Q3,109870831.562504
Canada,Canada,Consumer Defensive,Food Retail,2011,11Q4,159583911.830243
Canada,Canada,Consumer Defensive,Food Retail,2012,12Q1,67604393.1672954
Canada,Canada,Consumer Defensive,Food Retail,2012,12Q2,125885105.353238
Canada,Canada,Consumer Defensive,Food Retail,2012,12Q3,124707082.691436
Canada,Canada,Consumer Defensive,Food Retail,2012,12Q4,190577400.634529
Canada,Canada,Consumer Defensive,Food Retail,2013,13Q1,72542572.324365
Canada,Canada,Consumer Defensive,Food Retail,2013,13Q2,132061828.935276
Canada,Canada,Consumer Defensive,Food Retail,2013,13Q3,137455401.215621
Canada,Canada,Consumer Defensive,Food Retail,2013,13Q4,202095588.714176
Canada,Canada,Consumer Defensive,Food Retail,2014,14Q1,73984747.8792764
Canada,Canada,Consumer Defensive,Food Retail,2014,14Q2,133525321.088312
Canada,Canada,Consumer Defensive,Food Retail,2014,14Q3,168704761.780473
Canada,Canada,Consumer Defensive,Food Retail,2014,14Q4,248440289.770134
Canada,Canada,Consumer Defensive,Food Retail,2015,15Q1,69469659.4521417
Canada,Canada,Consumer Defensive,Food Retail,2015,15Q2,146035857.204139
Canada,Canada,Consumer Defensive,Food Retail,2015,15Q3,147187893.99223
